Date,Value
2020-01-01,483.0
2020-02-01,447.0
2020-03-01,428.0
2020-04-01,468.0
2020-05-01,493.0
2020-06-01,1549.0
2020-07-01,1593.0
2020-08-01,2287.0
2020-09-01,2175.0
2020-10-01,2178.0
2020-11-01,2841.0
2020-12-01,2829.0
2021-01-01,2840.0
2021-02-01,2926.0
2021-03-01,2928.0
2021-04-01,2986.0
2021-05-01,2986.0
2021-06-01,3002.0
2021-07-01,3799.0
2021-08-01,4253.0
2021-09-01,4096.0
2021-10-01,3954.0
2021-11-01,4315.0
2021-12-01,4527.0
2022-01-01,4772.0
2022-02-01,5006.0
2022-03-01,5118.0
2022-04-01,4641.0
2022-05-01,5585.0
2022-06-01,5929.0
2022-07-01,6696.0
2022-08-01,6383.0
2022-09-01,5996.0
2022-10-01,6306.0
2022-11-01,6681.0
